epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.003,1.13827,0.63025,1.31595,0.9869,0.97863,0.9883,0.69882,1.12052,0.46481,1.42523,0.000542437,0.000542437,0.000542437
2,325.913,1.14383,0.58757,1.33596,0.9865,0.96338,0.98458,0.65181,1.22502,0.56425,1.56294,0.00109806,0.00109806,0.00109806
3,490.816,1.12968,0.5919,1.30433,0.997,0.96154,0.98131,0.67982,1.16113,0.49807,1.43924,0.00165353,0.00165353,0.00165353
4,644.976,1.13709,0.57884,1.3109,0.98145,0.97009,0.98741,0.68707,1.14744,0.52482,1.45033,0.00166646,0.00166646,0.00166646
5,795.296,1.10357,0.57818,1.28647,0.93217,0.96492,0.99474,0.66391,1.16874,0.58003,1.51041,0.00166604,0.00166604,0.00166604
6,945.354,1.16097,0.58763,1.33537,0.975,0.9658,0.97728,0.65488,1.22107,0.59935,1.54222,0.00166549,0.00166549,0.00166549
7,1111.99,1.19787,0.59846,1.37121,0.98166,0.99573,0.99466,0.65251,1.25769,0.53504,1.49618,0.00166483,0.00166483,0.00166483
8,1277.01,1.1189,0.58758,1.31079,0.99412,0.99436,0.995,0.68,1.20477,0.53885,1.46559,0.00166405,0.00166405,0.00166405
9,1457,1.1381,0.59073,1.32199,0.99461,0.99145,0.99475,0.69291,1.13196,0.50891,1.41963,0.00166315,0.00166315,0.00166315
10,1607.76,1.12014,0.57721,1.31125,0.98862,0.96734,0.99333,0.68235,1.16928,0.53159,1.45741,0.00166213,0.00166213,0.00166213
11,1760.62,1.12112,0.56127,1.28381,0.97217,0.98584,0.98677,0.68852,1.15755,0.51767,1.44004,0.00166098,0.00166098,0.00166098
12,1933.25,1.11145,0.5606,1.31115,0.98604,0.98291,0.9847,0.67675,1.17503,0.49901,1.49525,0.00165972,0.00165972,0.00165972
13,2119.23,1.1428,0.56979,1.33125,0.99329,0.99573,0.995,0.6917,1.15187,0.49123,1.45329,0.00165834,0.00165834,0.00165834
14,2291.66,1.0983,0.5352,1.29515,0.98633,0.97343,0.98709,0.67992,1.20806,0.52188,1.45757,0.00165684,0.00165684,0.00165684
15,2473.99,1.10678,0.55006,1.29092,0.99417,0.98291,0.99262,0.68005,1.19741,0.50709,1.47379,0.00165522,0.00165522,0.00165522
16,2658.97,1.14272,0.56714,1.31062,0.98519,0.98387,0.99381,0.6856,1.16816,0.4949,1.49378,0.00165348,0.00165348,0.00165348
17,2836.32,1.08171,0.55215,1.28715,0.99372,0.98677,0.99265,0.68077,1.17519,0.52652,1.46951,0.00165163,0.00165163,0.00165163
18,3004.6,1.10992,0.55506,1.3007,0.99338,0.97683,0.98886,0.68418,1.15817,0.49191,1.45406,0.00164965,0.00164965,0.00164965
19,3177.14,1.10086,0.55147,1.30325,0.99385,0.98485,0.99346,0.67666,1.19958,0.49607,1.45457,0.00164756,0.00164756,0.00164756
